[08/15/23 20:30:56] [INFO] received Windows console close event; shutting log-core down
[08/15/23 20:44:55] [INFO] received Windows console close event; shutting log-core down
[08/18/23 19:25:30] [INFO] received Windows console close event; shutting log-core down
[08/18/23 19:29:58] [INFO] received Windows console close event; shutting log-core down
[08/18/23 19:34:26] [INFO] received Windows console close event; shutting log-core down
[08/18/23 19:44:54] [INFO] received Windows console close event; shutting log-core down
[08/18/23 20:31:33] [INFO] received Windows console close event; shutting log-core down
[08/18/23 21:35:40] [INFO] received Windows console close event; shutting log-core down
[08/18/23 21:54:24] [INFO] received Windows console close event; shutting log-core down
[08/18/23 22:02:51] [INFO] received Windows console close event; shutting log-core down
[08/19/23 04:07:07] [INFO] received Windows console close event; shutting log-core down
[10/09/23 15:59:36] [INFO] received Windows console close event; shutting log-core down
[10/09/23 16:09:06] [INFO] received Windows console close event; shutting log-core down
[10/09/23 16:10:49] [INFO] received Windows console close event; shutting log-core down
[10/09/23 16:29:07] [INFO] received Windows console close event; shutting log-core down
[10/09/23 16:38:21] [INFO] received Windows console close event; shutting log-core down
[10/09/23 16:39:13] [INFO] received Windows console close event; shutting log-core down
[10/09/23 17:15:12] [INFO] received Windows console close event; shutting log-core down
[10/09/23 17:27:21] [INFO] received Windows console close event; shutting log-core down
[10/09/23 17:30:37] [INFO] received Windows console close event; shutting log-core down
[10/09/23 17:33:44] [INFO] received Windows console close event; shutting log-core down
[10/09/23 17:38:19] [INFO] received Windows console close event; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
[02/21/24 10:40:25] [ERROR] exception 0XC0000096 (PRIVILEGED_INSTRUCTION) from Vectored Exception Handler catched; shutting log-core down
